Date,Description,Amount
2026-01-28,SALARY ACME LTD,2450.00
2026-01-29,Transfer to Monzo Savings,-600.00
2026-01-29,Tesco Superstore,-82.14
2026-01-30,Amazon Marketplace,-41.20
2026-01-31,Shell Service Station,-54.00
2026-02-01,Rent Standing Order,-850.00
2026-02-02,Netflix,-10.99
2026-02-03,Spotify,-11.99
2026-02-05,Barclaycard Payment,-145.00
2026-02-07,Vanguard Investor,-250.00
2026-02-09,Uber Trip,-18.40
2026-02-12,Costa Coffee,-6.80
2026-02-15,Electric Bill,-74.55
2026-02-18,Water Bill,-31.22
2026-02-22,Tesco Superstore,-76.48
